cycle,bootstrap,component,A,G,AG,aligned_component
0506,0,IC1,0.0279113216270365,-0.0014846591408364,-0.0493915480007456,IC1
0506,1,IC1,0.0109323924498023,0.0789837702709749,-0.0428473741973155,IC1
0506,2,IC1,0.0064123320467642,-0.0059625388554487,0.0017134593499473,IC1
0506,3,IC1,0.018684222674034,0.0570919730475925,-0.0584534676631728,IC1
0506,4,IC1,0.0483804351906908,0.0985236157076384,-0.0697986540267361,IC1
0506,5,IC1,0.0441161679653592,-0.0057020368906121,-0.016582849280072,IC1
0506,6,IC1,-0.0020518631980726,0.0282479739949455,0.0486947747402504,IC1
0506,7,IC1,0.0507154305735521,-0.0550841417011988,-0.0153245882271492,IC1
0506,8,IC1,0.1039569984255463,0.0585593742841245,-0.0481049767313024,IC1
0506,9,IC1,-0.0259598668885071,-0.011371473286604,0.0145825219876894,IC1
0506,10,IC1,0.027372711865099,0.0239963502085268,-0.0247858587707552,IC1
0506,11,IC1,-0.0294870560683691,0.0353324804044296,-0.0656067657935549,IC1
0506,12,IC1,0.0464991885828072,0.053664321287621,-0.0640874025628089,IC1
0506,13,IC1,0.1033162438539803,0.0182359441118743,-0.0384526645480969,IC1
0506,14,IC1,0.0009454113665403,-0.0602597829957234,0.0387003550760228,IC1
0506,15,IC1,0.0514158247229269,-0.0373935920564888,-0.003105985795463,IC1
0506,16,IC1,0.0822745415547488,0.0538471252369388,-0.0255284983066657,IC1
0506,17,IC1,-0.0709002405606945,0.011281967690007,-0.0120788326637567,IC1
0506,18,IC1,0.0523140933263101,0.092633083210888,-0.0641523830515843,IC1
0506,19,IC1,0.0453133965087642,0.0221333813547564,-0.0509629467712582,IC1
0506,20,IC1,0.0680673091638138,0.001511802478999,-0.0551163579353437,IC1
0506,21,IC1,9.267126359901492e-05,-0.0326912762531108,0.0554926538653203,IC1
0506,22,IC1,0.0842151921547527,0.0509293402834778,-0.1106275154326796,IC1
0506,23,IC1,0.1563465162943562,0.0397549178622294,-0.0528114863742188,IC1
0506,24,IC1,-0.007229093446922,0.0770844812815115,-0.0362597929975217,IC1
0506,25,IC1,0.0667164491896874,0.0167777867590003,-0.0273825234278883,IC1
0506,26,IC1,0.0620563076975882,0.0337895952491332,-0.0710730607997943,IC1
0506,27,IC1,0.0062790927610052,0.0237578160476423,-0.0455247333430668,IC1
0506,28,IC1,0.0663008311219828,0.0639074180423905,-0.0543132909948104,IC1
0506,29,IC1,0.1260580003123136,0.031711381149283,-0.0698709164912584,IC1
0506,30,IC1,0.025366888666507,0.0457262721931843,-0.0296789284359457,IC1
0506,31,IC1,0.0178284895394897,0.0407995528369856,-0.04157172946777,IC1
0506,32,IC1,-0.0137596840912355,0.0355518925389536,-0.0058036400932268,IC1
0506,33,IC1,0.0033575379780516,0.0318493500499366,-0.0482800382464219,IC1
0506,34,IC1,0.0286895187041371,0.0377071901082773,-0.0407122878142326,IC1
0506,35,IC1,0.0758984223084573,0.0712442446287222,-0.0324587370295036,IC1
0506,36,IC1,0.0755233969137743,0.0065060697146655,-0.0714510643441598,IC1
0506,37,IC1,0.0663561408132784,0.0108095584837828,-0.0611429763269315,IC1
0506,38,IC1,-0.0204874688530674,0.0254430897480969,-0.0229937982384914,IC1
0506,39,IC1,0.023877762345692,0.0614837558617309,-0.041144070385566,IC1
0506,40,IC1,-0.0092706902854931,0.0462068200832241,-0.0423260354443268,IC1
0506,41,IC1,0.1087454875597749,0.0497072093386175,-0.0600810974882876,IC1
0506,42,IC1,0.0834696777090804,-0.0382988165552929,-0.0201996227712526,IC1
0506,43,IC1,0.0951109721784589,0.030933139358549,0.017737538420459,IC1
0506,44,IC1,0.1028797085117347,0.068725756444746,-0.0350432174295357,IC1
0506,45,IC1,-0.0245303495006519,-0.020624576429768,0.0182666693958951,IC1
0506,46,IC1,0.0324812434412056,0.0059636462243031,0.0165409453156975,IC1
0506,47,IC1,0.0729285974194863,-0.0178713102794674,-0.0484251632997683,IC1
0506,48,IC1,0.1154412290283548,-0.0062070303696451,-0.0327474794779731,IC1
0506,49,IC1,0.0689907293598326,0.0717030582813673,0.0146125429725326,IC1
0506,50,IC1,0.1108325722100714,0.0222683612451512,-0.1538153571301548,IC1
0506,51,IC1,0.0614174558130396,0.0628293769721186,-0.0909504610604768,IC1
0506,52,IC1,-0.0040245582330199,0.0513146696277229,-0.0648794201943837,IC1
0506,53,IC1,0.0420515333933233,0.0380361685486925,-0.01259442348094,IC1
0506,54,IC1,0.1050427169360136,0.0520294498667387,-0.0760924921806775,IC1
0506,55,IC1,0.0234755449216935,0.0229894684104833,0.084689234762778,IC1
0506,56,IC1,0.0656185264014466,0.0080769458943716,0.0121196531475439,IC1
0506,57,IC1,0.0360819839666109,0.040269936893231,-0.0590816723370511,IC1
0506,58,IC1,0.0631256260813594,0.040387270962336,-0.1379375142210918,IC1
0506,59,IC1,0.0849664380467019,0.0753185690319537,-0.0725239263713828,IC1
0506,60,IC1,0.1679422868729974,0.0357404704021752,-0.0636213036053812,IC1
0506,61,IC1,0.0597662099034057,0.0458158442707232,-0.0582380060641508,IC1
0506,62,IC1,-0.0037702591630914,0.0882279650666569,-0.0382242953738979,IC1
0506,63,IC1,0.0513987211165103,0.0178033672384908,-0.041389072551229,IC1
0506,64,IC1,0.080021399687599,0.0702963627395462,-0.0576231104948578,IC1
0506,65,IC1,0.0263744627991673,0.0022016454254054,-0.0087832802052725,IC1
0506,66,IC1,0.0459968483500495,0.0604518355577485,-0.056576009627652,IC1
0506,67,IC1,0.1225130892175554,0.0284395005586512,-0.1012389403835163,IC1
0506,68,IC1,0.0652450639544962,0.0258289061303181,-0.0347957856557695,IC1
0506,69,IC1,0.036329000293379,0.0717981900686291,-0.0696189065231191,IC1
0506,70,IC1,0.1314739312115458,0.0058986983934076,-0.0306198886455343,IC1
0506,71,IC1,0.1088573911530595,0.0129391553996905,-0.0534928090204043,IC1
0506,72,IC1,0.0594111462689513,0.0639830380350279,-0.0407416330680003,IC1
0506,73,IC1,0.0231637620591607,-0.0558835304843476,-0.0879521865804642,IC1
