population,adjustment,outcome,n,design_df,delta_scalar_model_beyond_X,delta_all_PCs_beyond_X,delta_all_PCs_beyond_scalar_model,delta_scalars_beyond_all_PCs,delta_Apcs_scalarG_beyond_scalars,delta_Ascalar_Gpcs_beyond_scalars
2009-2018,X3,COGAFF_SUM,9893,78.0,0.0003153861025115001,0.001931922190688301,0.0016508541218716033,3.431803369480235e-05,0.0013607025641999004,0.00018623153010589866
2009-2018,X3,PHQ9_TOTAL,9893,78.0,0.001751082445070995,0.004525706372021099,0.002954663185068096,0.00018003925811799215,0.002410338533196707,0.00022782784427240188
2009-2018,X3,SOMATIC_SCORE,9893,78.0,0.0038685673523499997,0.007014474042811511,0.003643346661524313,0.0004974399710628019,0.002854383626376203,0.00013407339194350387
2021-2023,X0,COGAFF_SUM,2590,15.0,0.0012872630261090978,0.016400070951819598,0.016283956068969305,0.0011711481432588045,0.0020421713493080015,0.010739440936804102
2021-2023,X0,PHQ9_TOTAL,2590,15.0,0.0017993282323605017,0.024923593842128604,0.0244442698279089,0.0013200042181407967,0.004744203628875898,0.0150345753624943
2021-2023,X0,SOMATIC_SCORE,2590,15.0,0.003009657059359898,0.030182574265625997,0.028523145387466302,0.0013502281812002026,0.008080234188405103,0.015865023046393707
2021-2023,X3,COGAFF_SUM,2247,15.0,0.002391625578421201,0.007053740059214296,0.007649008538814395,0.0029868940580213,0.0004207282836333967,0.004031422682857694
2021-2023,X3,PHQ9_TOTAL,2247,15.0,0.002477556877139492,0.008622920273823692,0.0098062209590766,0.0036608575623924,0.0024336481213459993,0.002954365465520803
2021-2023,X3,SOMATIC_SCORE,2247,15.0,0.002373337404581996,0.010668363109342105,0.011687501803721606,0.003392476098961497,0.005617255855055611,0.0014924979505760022
