period,dimension,weighted_mean,weighted_sd
2009-2018,G3_FROZEN_PC1,0.20110494550548513,1.453657514382513
2009-2018,G3_FROZEN_PC2,0.1137596726286461,0.9294224730103294
2009-2018,G3_FROZEN_PC3,-0.06328323418528727,0.4330535227351703
2021-2023,G3_FROZEN_PC1,0.2702530379904014,1.6961050381571645
2021-2023,G3_FROZEN_PC2,0.07742522682867357,0.9703825800769935
2021-2023,G3_FROZEN_PC3,-0.06162769219233592,0.4604017122572166
0910,G3_FROZEN_PC1,0.13118543228068377,1.2228596098632392
0910,G3_FROZEN_PC2,0.24306951277470537,0.9173708294943057
0910,G3_FROZEN_PC3,-0.12097588801334734,0.39588750860757127
1112,G3_FROZEN_PC1,0.16973252333710587,1.4286822281823321
1112,G3_FROZEN_PC2,0.17566578689753085,0.9048630087024074
1112,G3_FROZEN_PC3,-0.10511000894011484,0.4440241885144591
1314,G3_FROZEN_PC1,0.12217439050880259,1.5227122172092276
1314,G3_FROZEN_PC2,0.023815805505711423,0.9353421315797107
1314,G3_FROZEN_PC3,-0.06999231631828572,0.4360340929189075
1516,G3_FROZEN_PC1,0.2718344203513736,1.555450703469062
1516,G3_FROZEN_PC2,0.06202595103348821,0.96038166964057
1516,G3_FROZEN_PC3,-0.03338225968406009,0.4451293686645592
1718,G3_FROZEN_PC1,0.29976619982737346,1.490544787158071
1718,G3_FROZEN_PC2,0.07526219650590094,0.9093575925138628
1718,G3_FROZEN_PC3,0.004920693923123119,0.4287213583576317
2123,G3_FROZEN_PC1,0.2702530379904014,1.6961050381571645
2123,G3_FROZEN_PC2,0.07742522682867357,0.9703825800769935
2123,G3_FROZEN_PC3,-0.06162769219233592,0.4604017122572166
