component,mean,sd,fit_n
G4_PC1,2.663057022226334e-15,1.5513224715037148,3308
G4_PC2,1.594457148271383e-14,0.9169258410230331,3308
G4_PC3,4.7278910901844335e-15,0.6766806475452734,3308
