components,pca_rmse,pca_variance,ica_rmse
1,0.7445121135135815,0.4457017128315384,0.7445121135135813
2,0.6697773744638317,0.5513982686563368,0.6697773744638317
3,0.6084132488010952,0.6298333186832967,0.608413248801095
4,0.5428160079549076,0.7053507815078984,0.5428160079549077
5,0.47234814053361246,0.7768872341344382,0.47234814053361246
6,0.39719644240491075,0.8422349861408819,0.3971964424049108
7,0.31580360619227593,0.9002680823159546,0.3158036061922758
8,0.20957782673170428,0.9560771345424156,0.2095778267317044
9,1.4080087716446462e-15,1.0,3.3828104156815807e-15
