cycle,outcome,model,term,beta,se,ci_low,ci_high,p,survey_dof,n
0506,PHQ9_TOTAL,X0_demographic,A,0.4418922605288711,0.24420645786424938,-0.07862148310853523,0.9624060041662774,0.09045390507779229,15,3582
0506,PHQ9_TOTAL,X0_demographic,G,0.3220552567874054,0.15294665772764884,-0.00394282732100909,0.6480533408958198,0.0524919827281216,15,3582
0506,PHQ9_TOTAL,X0_demographic,AG,-0.39567305270515934,0.20522517523773998,-0.8331001592029726,0.041754053792653956,0.07300612164075747,15,3582
0506,PHQ9_TOTAL,X1_primary,A,0.4314293923319797,0.24406911771978457,-0.08879161771692007,0.9516504023808794,0.09744931790141362,15,3582
0506,PHQ9_TOTAL,X1_primary,G,0.2904969261438054,0.1582674537988346,-0.04684216633255178,0.6278360186201626,0.0863387189735616,15,3582
0506,PHQ9_TOTAL,X1_primary,AG,-0.31485289087611945,0.17970507429432567,-0.6978851898154643,0.06817940806322537,0.10017626276552234,15,3582
0506,PHQ9_TOTAL,X2_bmi_sensitivity,A,0.41900398817542034,0.2496368242517395,-0.11308430743082237,0.9510922837816631,0.11396407482338211,15,3582
0506,PHQ9_TOTAL,X2_bmi_sensitivity,G,0.22476716715233344,0.1480547068125417,-0.09080397040117741,0.5403383047058443,0.1497727770623606,15,3582
0506,PHQ9_TOTAL,X2_bmi_sensitivity,AG,-0.3250963305252012,0.18169981288767634,-0.712380314132853,0.062187653082450556,0.09379100639666443,15,3582
0506,PHQ9_TOTAL,X3_kidney_direct_effect,A,0.413913708525661,0.2511544164925414,-0.12140925837258332,0.9492366754239053,0.12012546766832352,15,3582
0506,PHQ9_TOTAL,X3_kidney_direct_effect,G,0.22641306586474122,0.1467844924949893,-0.08645067395885955,0.539276805688342,0.14378599929923114,15,3582
0506,PHQ9_TOTAL,X3_kidney_direct_effect,AG,-0.3271082327605118,0.18052708583140595,-0.7118926078170109,0.057676142295987276,0.09005700764375377,15,3582
0506,SOMATIC_SCORE,X0_demographic,A,0.2590415549829822,0.12251321883451197,-0.0020891896268482313,0.5201722995928126,0.05163590104645157,15,3582
0506,SOMATIC_SCORE,X0_demographic,G,0.14661289966826518,0.05705478860350976,0.025003496427331073,0.2682223029091993,0.021347630193425855,15,3582
0506,SOMATIC_SCORE,X0_demographic,AG,-0.16814637902812998,0.08550545600356728,-0.35039694436977614,0.014104186313516176,0.0680257357721034,15,3582
0506,SOMATIC_SCORE,X1_primary,A,0.2595385361682328,0.12398053349455415,-0.004719715606937069,0.5237967879434027,0.05371975073915207,15,3582
0506,SOMATIC_SCORE,X1_primary,G,0.134933549809517,0.06074477664839827,0.005459123227185919,0.2644079763918481,0.04214299660527023,15,3582
0506,SOMATIC_SCORE,X1_primary,AG,-0.138044444490386,0.07839597752252522,-0.3051415151544513,0.02905262617367929,0.09862838567991432,15,3582
0506,SOMATIC_SCORE,X2_bmi_sensitivity,A,0.2532054518232266,0.1280806083052897,-0.019791902544044726,0.526202806190498,0.06673140483138258,15,3582
0506,SOMATIC_SCORE,X2_bmi_sensitivity,G,0.10143185421677656,0.05607175085232807,-0.018082253656133696,0.2209459620896868,0.09054084272530286,15,3582
0506,SOMATIC_SCORE,X2_bmi_sensitivity,AG,-0.14326540684003777,0.0801496475463406,-0.3141003366794254,0.02756952299934981,0.09407869571651245,15,3582
0506,SOMATIC_SCORE,X3_kidney_direct_effect,A,0.24909916267440008,0.12850510480243546,-0.024802984558804142,0.5230013099076043,0.07162378761982248,15,3582
0506,SOMATIC_SCORE,X3_kidney_direct_effect,G,0.1027595879539894,0.054790527837004666,-0.014023657705149628,0.21954283361312843,0.08032519693173854,15,3582
