population,family,model,term,beta,se,ci_low,ci_high,p,p_BH_within_model
2005-2018,temporal_drift,linear_cycle_interactions,A1_X_TIME2,0.0035543863735728,0.0290606395145748,-0.0555039387171833,0.0626127114643291,0.903374160214073,0.903374160214073
2005-2018,temporal_drift,linear_cycle_interactions,A2_X_TIME2,0.0086592557131271,0.0254501404042649,-0.0430616523848052,0.0603801638110596,0.735766085189555,0.903374160214073
2005-2018,temporal_drift,linear_cycle_interactions,A3_X_TIME2,-0.0200079466130151,0.0252754987651118,-0.0713739401986802,0.0313580469726501,0.434085188927376,0.868170377854752
2005-2018,temporal_drift,linear_cycle_interactions,G1_X_TIME2,-0.0064719592028621,0.0240598812364772,-0.0553675207405294,0.0424236023348051,0.789560090806369,0.903374160214073
2005-2018,temporal_drift,linear_cycle_interactions,G2_X_TIME2,-0.0639303490174127,0.0234684997595642,-0.111624078795711,-0.0162366192391143,0.0101071273029147,0.060642763817488204
2005-2018,temporal_drift,linear_cycle_interactions,G3_X_TIME2,-0.0531381158438204,0.0228675250868884,-0.0996105181433346,-0.0066657135443062,0.0262523271330118,0.07875698139903539
