"model","term","beta","se","ci_low","ci_high","p","normal_diag_ci_low","normal_diag_ci_high"
"X0","A",0.0545901869886126,0.152031174228404,-0.304906414589999,0.414086788567225,0.730127634866637,-0.243390914499059,0.352571288476285
"X0","G_HBA1C",0.200364648700001,0.0518118344185371,0.0778491285144185,0.322880168885583,0.00615423760084935,0.0988134532396682,0.301915844160334
"X1","A",0.00346813120863169,0.15691530407401,-0.67168393020482,0.678620192622083,0.984373483033232,-0.304085864776428,0.311022127193691
"X1","G_HBA1C",0.177265461846248,0.0532333229115278,-0.051779040292654,0.406309963985149,0.0795671802875815,0.0729281489396529,0.281602774752842
"X2","A",-0.0165172586422102,0.170535707181324,-Inf,Inf,0.938531837881452,-0.350767244717605,0.317732727433185
"X2","G_HBA1C",0.128718835118813,0.0552353934345538,-Inf,Inf,0.258055289646627,0.0204574639870874,0.236980206250538
"X3","A",-0.0169390029691519,0.16814244999888,NA,NA,NA,-0.346498204966956,0.312620199028653
"X3","G_HBA1C",0.121264794345781,0.0548529237843697,NA,NA,NA,0.013753063728416,0.228776524963145
