representation,variable,mean,sd,fit_n
raw7,LBXHGB,14.517140748016072,1.5172122390100187,4506
raw7,LBXRBCSI,4.7675445543925,0.48965133770287883,4506
raw7,LBXMCVSI,89.4808512958175,5.437509253773914,4506
raw7,LBXRDW,12.743383094455165,1.098648466702478,4506
raw7,LBXGH,5.528696720499406,0.9075673476855821,4506
raw7,LBXGLU,104.98989740237337,30.106702935321472,4506
raw7,LOG_IN,2.164557186617906,0.7334956531031795,4506
G2A_PC,G2A_PC1,5.942760670544193e-16,1.3482014489283864,4586
G2A_PC,G2A_PC2,9.720658525390145e-15,0.4270279301256528,4586
G2B_PC,G2B_PC1,2.4386331116843477e-16,1.1051571741705504,4535
G2B_PC,G2B_PC2,-9.540023052654044e-15,0.8823987876121355,4535
