block,model,component,variable,label,loading
G4_extended,FINAL_POOLED_DISCOVERY_FROZEN,1,LBXGLU,Fasting glucose,0.57523453961069
G4_extended,FINAL_POOLED_DISCOVERY_FROZEN,1,LOG_IN,log fasting insulin,0.3318200955765963
G4_extended,FINAL_POOLED_DISCOVERY_FROZEN,1,LBXGLT,2-hour OGTT glucose,0.5357576400630952
G4_extended,FINAL_POOLED_DISCOVERY_FROZEN,2,LBXGH,HbA1c,-0.33885537680565425
G4_extended,FINAL_POOLED_DISCOVERY_FROZEN,2,LBXGLU,Fasting glucose,-0.1250369383495606
G4_extended,FINAL_POOLED_DISCOVERY_FROZEN,2,LOG_IN,log fasting insulin,0.9260466117988458
G4_extended,FINAL_POOLED_DISCOVERY_FROZEN,2,LBXGLT,2-hour OGTT glucose,-0.10945533533796008
G4_extended,FINAL_POOLED_DISCOVERY_FROZEN,3,LBXGH,HbA1c,-0.6443478200662045
G4_extended,FINAL_POOLED_DISCOVERY_FROZEN,3,LBXGLU,Fasting glucose,-0.026661321085006018
G4_extended,FINAL_POOLED_DISCOVERY_FROZEN,3,LOG_IN,log fasting insulin,-0.15081985375946516
G4_extended,FINAL_POOLED_DISCOVERY_FROZEN,3,LBXGLT,2-hour OGTT glucose,0.7492385684452626
G4_extended,FINAL_POOLED_DISCOVERY_FROZEN,4,LBXGH,HbA1c,-0.44500395578173185
G4_extended,FINAL_POOLED_DISCOVERY_FROZEN,4,LBXGLU,Fasting glucose,0.8079357415321142
G4_extended,FINAL_POOLED_DISCOVERY_FROZEN,4,LOG_IN,log fasting insulin,-0.09791051352837979
G4_extended,FINAL_POOLED_DISCOVERY_FROZEN,4,LBXGLT,2-hour OGTT glucose,-0.3736640847528319
