period,n,insulin_method_era,frozen_pc1_variance_share,frozen_pc2_variance_share,frozen_pc3_variance_share,diagnostic_pc1_loading_similarity_to_discovery,diagnostic_pc2_loading_similarity_to_discovery,diagnostic_pc3_loading_similarity_to_discovery,correlation_matrix_frobenius_distance_from_discovery
2009-2018,12258,MIXED,0.6677618639713124,0.27297555405191115,0.059262581976776404,0.9967354055098572,0.995837555772806,0.999012292443991,0.16043734935334716
2021-2023,3024,Tosoh_AIA,0.7137711996989915,0.23363586717112514,0.05259293312988344,0.998164575500758,0.9961448298810373,0.9978656054703906,0.16049881851961809
0910,2700,Mercodia_to_Roche_transition_NHANES_corrected,0.5996697875412265,0.3374806057065757,0.06284960675219783,0.9999913826042011,0.9997296415603112,0.9997307786325595,0.03474683371537917
1112,2326,Roche_Elecsys,0.6676767654249005,0.2678308794090563,0.06449235516604324,0.9966083084118165,0.9964014828020298,0.999739869564269,0.14939643718620949
1314,2486,Tosoh_AIA,0.685253263283875,0.25855708464647403,0.05618965206965093,0.9943884509648244,0.9929487363994367,0.9984175699144455,0.22482813360803242
1516,2382,Tosoh_AIA,0.6834732316927383,0.2605533919386815,0.0559733763685802,0.9969620419088301,0.9966187605401988,0.9995984436330353,0.15926038672602588
1718,2364,Tosoh_AIA,0.6873173455341017,0.2558212628681978,0.056861391597700504,0.9927894991428681,0.9900652224476034,0.9970666077814023,0.2619323655985606
2123,3024,Tosoh_AIA,0.7137711996989915,0.23363586717112514,0.05259293312988344,0.998164575500758,0.9961448298810373,0.9978656054703906,0.16049881851961809
